local family body tail mid ilab slab post
INLAND 1227 166 76 21 20 15 6
INLAND 1227 168 83 21 20 14 7
INLAND 1227 169 77 21 20 16 6
INLAND 1227 169 81 21 20 13 6
INLAND 1227 170 80 21 20 16 6
INLAND 160 171.051645 79.963572 20.954545 19.638325 15.809951 6.190111
INLAND 160 162.394547 80.062586 21.190963 19.608087 14.556188 6.125825
INLAND 160 164.394547 87.062586 21.190963 20.608087 15.556188 7.125825
INLAND 160 167.394547 NA        19.190963 20.608087 15.556188 6.125825
INLAND 160 166.394547 83.062586 21.190963 20.608087 16.556188 6.125825
INLAND 160 167.394547 83.062586 21.190963 19.608087 15.556188 6.125825
INLAND 160 169.394547 83.062586 21.190963 20.608087 15.556188 7.125825
INLAND 160 173.394547 84.062586 21.190963 21.608087 15.556188 6.125825
INLAND 160 173.394547 86.062586 21.190963 19.608087 15.556188 6.125825
INLAND 249 165.051645 82.963572 18.954545 19.638325 15.809951 6.190111
INLAND 249 NA NA NA NA NA NA
INLAND 249 166.394547 95.062586 NA 19.608087 16.556188 4.125825
INLAND 249 169.394547 81.062586 19.190963 20.608087 15.556188 6.125825
INLAND 249 169.394547 NA        21.190963 19.608087 15.556188 6.125825
INLAND 259 162.051645 73.963572 18.954545 19.638325 15.809951 6.190111
INLAND 259 160.394547 77.062586 21.190963 19.608087 14.556188 6.125825
INLAND 259 161.394547 76.062586 21.190963 19.608087 15.556188 6.125825
INLAND 259 162.394547 69.062586 19.190963 19.608087 15.556188 6.125825
INLAND 259 162.394547 77.062586 19.190963 20.608087 15.556188 6.125825
INLAND 259 163.394547 NA        21.190963 19.608087 14.556188 6.125825
INLAND 259 163.394547 76.062586 21.190963 19.608087 15.556188 6.125825
INLAND 259 165.394547 75.062586 19.190963 19.608087 15.556188 6.125825
INLAND 259 167.394547 75.062586 19.190963 19.608087 15.556188 6.125825
INLAND 259 171.394547 79.062586 19.190963 23.608087 15.556188 6.125825
INLAND 259 172.394547 79.062586 19.190963 19.608087 13.556188 7.125825
INLAND 260 167.051645 76.963572 18.954545 19.638325 15.809951 6.190111
INLAND 260 153.394547 76.062586 NA        19.608087 15.556188 6.125825
INLAND 260 166.394547 77.062586 21.190963 19.608087 14.556188 6.125825
INLAND 265 165.051645 NA        16.954545 20.638325 15.809951 6.190111
INLAND 265 166.394547 74.062586 19.190963 19.608087 15.556188 7.125825
INLAND 265 166.394547 77.062586 21.190963 20.608087 17.556188 6.125825
INLAND 265 169.394547 77.062586 21.190963 19.608087 15.556188 6.125825
INLAND 265 171.394547 NA        19.190963 21.608087 15.556188 6.125825
INLAND 267 173.051645 73.963572 20.954545 19.638325 15.809951 6.190111
INLAND 267 169.394547 82.062586 19.190963 19.608087 15.556188 6.125825
INLAND 267 170.394547 81.062586 19.190963 19.608087 15.556188 6.125825
INLAND 267 170.394547 83.062586 21.190963 19.608087 15.556188 6.125825
INLAND 267 170.394547 84.062586 21.190963 17.608087 13.556188 5.125825
INLAND 267 171.394547 78.062586 19.190963 19.608087 15.556188 6.125825
INLAND 267 172.394547 80.062586 19.190963 19.608087 15.556188 6.125825
INLAND 267 173.394547 83.062586 21.190963 19.608087 15.556188 6.125825
INLAND 268 166.051645 NA        20.954545 20.638325 16.809951 6.190111
INLAND 268 167.394547 83.062586 21.190963 22.608087 14.556188 7.125825
INLAND 274 171.051645 84.963572 20.954545 19.638325 15.809951 6.190111
INLAND 274 167.394547 81.062586 21.190963 19.608087 15.556188 7.125825
INLAND 274 167.394547 84.062586 21.190963 19.608087 15.556188 6.125825
INLAND 274 171.394547 92.062586 21.190963 19.608087 15.556188 6.125825
INLAND 274 171.394547 86.062586 19.190963 19.608087 15.556188 6.125825
INLAND 274 172.394547 83.062586 21.190963 20.608087 15.556188 6.125825
INLAND 274 173.394547 83.062586 21.190963 20.608087 15.556188 6.125825
INLAND 277 167.051645 79.963572 20.954545 19.638325 15.809951 6.190111
INLAND 277 161.394547 80.062586 21.190963 19.608087 16.556188 7.125825
INLAND 278 169.051645 82.963572 18.954545 20.638325 15.809951 6.190111
INLAND 278 165.394547 86.062586 19.190963 21.608087 17.556188 6.125825
INLAND 278 168.394547 NA        21.190963 20.608087 15.556188 6.125825
INLAND 279 167.051645 63.963572 20.954545 20.638325 15.809951 6.190111
INLAND 279 165.394547 79.062586 19.190963 21.608087 15.556188 6.125825
INLAND 279 166.394547 81.062586 21.190963 21.608087 15.556188 6.125825
INLAND 279 167.394547 NA        21.190963 19.608087 15.556188 6.125825
INLAND 279 168.394547 82.062586 21.190963 21.608087 15.556188 7.125825
INLAND 279 169.394547 82.062586 21.190963 20.608087 15.556188 6.125825
INLAND 279 173.394547 77.062586 21.190963 20.608087 15.556188 6.125825
INLAND 283 165.051645 NA        18.954545 20.638325 15.809951 6.190111
INLAND 283 159.394547 81.062586 21.190963 19.608087 15.556188 6.125825
INLAND 283 167.394547 76.062586 21.190963 20.608087 15.556188 6.125825
INLAND 283 170.394547 NA        21.190963 19.608087 15.556188 6.125825
INLAND 352 164.051645 74.963572 18.954545 20.638325 15.809951 7.190111
INLAND 352 NA         80.062586 21.190963 NA        15.556188 6.125825
INLAND 352 153.394547 78.062586 21.190963 NA        NA        NA
INLAND 352 161.394547 78.062586 21.190963 19.608087 15.556188 6.125825
INLAND 352 164.394547 81.062586 21.190963 19.608087 14.556188 5.125825
INLAND 352 166.394547 75.062586 21.190963 19.608087 15.556188 6.125825
INLAND 352 167.394547 80.062586 21.190963 19.608087 15.556188 6.125825
INLAND 355 165.051645 75.963572 20.954545 19.638325 15.809951 6.190111
INLAND 355 160.394547 81.062586 21.190963 19.608087 13.556188 6.125825
INLAND 355 163.394547 75.062586 21.190963 19.608087 15.556188 6.125825
INLAND 355 163.394547 82.062586 21.190963 19.608087 15.556188 6.125825
INLAND 355 164.394547 79.062586 21.190963 19.608087 14.556188 7.125825
INLAND 355 165.394547 75.062586 21.190963 19.608087 14.556188 6.125825
INLAND 355 165.394547 78.062586 21.190963 19.608087 14.556188 6.125825
INLAND 355 165.394547 79.062586 21.190963 19.608087 13.556188 6.125825
INLAND 355 165.394547 79.062586 21.190963 19.608087 15.556188 6.125825
INLAND 355 165.394547 81.062586 21.190963 19.608087 14.556188 6.125825
INLAND 355 167.394547 83.062586 21.190963 19.608087 15.556188 7.125825
INLAND 355 167.394547 80.062586 21.190963 19.608087 14.556188 6.125825
INLAND 355 168.394547 82.062586 21.190963 19.608087 13.556188 6.125825
INLAND 355 170.394547 78.062586 21.190963 19.608087 15.556188 6.125825
INLAND 358 168.051645 79.963572 20.954545 20.638325 15.809951 6.190111
INLAND 358 168.394547 80.062586 21.190963 22.608087 16.556188 6.125825
INLAND 358 169.394547 83.062586 19.190963 19.608087 15.556188 6.125825
INLAND 369 169.051645 81.963572 20.954545 19.638325 15.809951 6.190111
INLAND 369 169.394547 77.062586 21.190963 19.608087 15.556188 6.125825
INLAND 369 169.394547 83.062586 21.190963 23.608087 16.556188 6.125825
INLAND 370 170.051645 77.963572 18.954545 19.638325 16.809951 6.190111
INLAND 370 166.394547 NA        21.190963 19.608087 14.556188 5.125825
INLAND 370 167.394547 80.062586 21.190963 19.608087 17.556188 6.125825
INLAND 370 173.394547 NA        21.190963 21.608087 15.556188 6.125825
INLAND 371 165.051645 82.963572 20.954545 19.638325 15.809951 6.190111
INLAND 371 163.394547 81.062586 21.190963 19.608087 15.556188 5.125825
INLAND 371 163.394547 83.062586 21.190963 20.608087 15.556188 4.125825
INLAND 371 165.394547 82.062586 21.190963 19.608087 16.556188 4.125825
INLAND 371 166.394547 NA        21.190963 19.608087 14.556188 4.125825
INLAND 371 167.394547 83.062586 21.190963 20.608087 15.556188 5.125825
INLAND 371 166.394547 81.062586 21.190963 22.608087 15.556188 4.125825
INLAND 374 NA         NA        20.954545 21.638325 14.809951 6.190111
INLAND 374 NA         74.062586 21.190963 19.608087 15.556188 4.125825
INLAND 374 161.394547 80.062586 21.190963 19.608087 15.556188 6.125825
INLAND 374 161.394547 80.062586 21.190963 19.608087 15.556188 4.125825
INLAND 374 162.394547 72.062586 21.190963 19.608087 15.556188 5.125825
INLAND 374 165.394547 83.062586 21.190963 19.608087 15.556188 4.125825
INLAND 374 166.394547 81.062586 21.190963 19.608087 15.556188 6.125825
INLAND 374 165.394547 80.062586 21.190963 20.608087 13.556188 4.125825
INLAND 375 160.051645 76.963572 20.954545 19.638325 15.809951 6.190111
